Animals,Fruits,Vehicle,Food
Cat,Apple,Car,Bacon
Dog,Banana,Bus,Beef
Cow,Orange,Truck,Sausage
Pig,Grape,Bicycle,Dumpling
Sheep,Mango,Motorcycle,Pork
Horse,Pineapple,Scooter,Milk
Chicken,Strawberry,Van,Cheese
Duck,Watermelon,Taxi,Butter
Rabbit,Lemon,Train,Yogurt
Goat,Cherry,Airplane,Whipping cream
Lion,Peach,Boat,Mozzarella
Tiger,Pear,Ship,Cottage cheese
Bear,Kiwi,Helicopter,Ice cream
Wolf,Melon,Submarine,Donut
Fox,Plum,Canoe,Brownie
Deer,Coconut,Yacht,Cupcake
Monkey,Blueberry,Ferry,Macaron
Elephant,Raspberry,Tram,Cheesecake
Giraffe,Blackberry,Metro,Churros
Zebra,Grapefruit,Tractor,Gingerbread
Fish,Lychee,Ambulance,Waffle
Bird,Papaya,Fire truck,Pancake
Mouse,Passionfruit,Police car,Rice porridge
Rat,Pomegranate,Garbage truck,Croissant
Frog,Cantaloupe,Pickup truck,Scrambled eggs
Turtle,Fig,Minivan,Omelette
Snake,Apricot,RV (Recreational Vehicle),Fried eggs
Lizard,Nectarine,Trolley,Avocado oil
Whale,Persimmon,Wagon,Ghee
Dolphin,Avocado,Golf cart,Sesame oil
Kangaroo,Dragonfruit,Convertible,Flaxseed oil
Koala,Cranberry,Sedan,Palm oil
Panda,Mulberry,Coupe,Rice crackers
Squirrel,Currant,Limousine,Cereal bar
Bat,Jackfruit,Hatchback,Pretzel sticks
Penguin,Durian,SUV (Sport Utility Vehicle),Popcorn
Shark,Starfruit,Electric car,Granola
Octopus,Longan,Hybrid car,Noodles
Crab,Tamarind,Hovercraft,Spring roll
Lobster,Gooseberry,Monorail,Salt
Starfish,Quince,Cable car,Sugar
Jellyfish,Jujube,Snowmobile,Pepper
Snail,Boysenberry,Jet ski,Soy sauce
Bee,Huckleberry,Sailboat,Ketchup
Ant,Cactus pear,Speedboat,Oatmeal
Butterfly,Soursop,Tank,Almond
Moth,Rambutan,Bulldozer,Peanut
Mosquito,Loquat,Crane,Bread
Spider,Salak,Forklift,Rice
Scorpion,Ugli fruit,Excavator,Lentils
Cheetah,Bael,Cement mixer,Chickpeas
Leopard,Bilberry,Road roller,Burrito
Hyena,Calamansi,Trailer,Pickles
Bison,Cherimoya,Semi-truck,Sandwich
Buffalo,Feijoa,Quad bike,Cereal
Camel,Jabuticaba,Rickshaw,French fries
Llama,Langsat,Gondola,Fried chicken
Alpaca,Medlar,Hot air balloon,Grilled chicken
Reindeer,Mamoncillo,Glider,Olive oil
Antelope,Noni,Spaceship,Margarine
Armadillo,Pitanga,Segway,Lard
Opossum,Pitaya,Unicycle,Vegetable oil
Platypus,Santol,Pedicab,Instant noodles
Echidna,Sugar apple,Sidecar,Canned tuna
Sloth,Surinam cherry,Dinghy,Smoked salmon
Anteater,Barberry,Amphibious vehicle,Beef jerky
Pangolin,Chokeberry,Tow truck,Deli meat
Aardvark,Cloudberry,Hearse,Powdered milk
Wombat,Serviceberry,Jetliner,Juice
Wallaby,Thimbleberry,Barge,Coffee
Caracal,Abiu,Catamaran,Tea
Serval,Ackee,Hydrofoil,Smoothie
Civet,Atemoya,Icebreaker,Milkshake
Kinkajou,Bacaba,Blimp,Hot chocolate
Tamarin,Bacuri,Zephyr,Lemonade
Badger,Bignay,Handcar,Brown rice
Porcupine,Borojo,Funicular,Barley
Mole,Cocona,Trawler,Rye
Weasel,Cupuacu,Tugboat,Sunflower seeds
Otter,Gac,Minesweeper,Dried seaweed
Ferret,Genip,Car carrier,Pickled onions
Chimpanzee,Grumichama,Flatbed truck,Cotton candy
Gorilla,Ilama,Paver,Toffee
Orangutan,Keppel,Grader,Fudge
Baboon,Mamey,Skid steer,Lollipop
Lemur,Nance,Backhoe,Gummy bears
Mongoose,Pulasan,Harvester,Meatball sub
Meerkat,Sugarcane,Thresher,Soybeans milk
Beaver,Medlar,Combine,Trail mix
Hedgehog,Mamoncillo,Armored vehicle,Barbecue sauce
Skunk,Mangosteen,Drone,Cinnamon
Tapir,Sapodilla,Hoverboard,Nutmeg
Capybara,Miracle fruit,E-scooter,Goose
Okapi,Baobab,Motorhome,Quail
Gibbon,Longanberry,Pedelec,Caviar
Mandrill,Naranjilla,Roadster,Venison
Tarsier,Spondias,Touring bike,Mille-feuille
Axolotl,Tamarillo,Tandem bike,Bubble tea
Narwhal,Horned melon,Hydroplane,Danish pastry
,Buddha's hand,Autogyro,Ratatouille